N20140422Q34F134V1	14:20:14	-05:32:54	40	13.333	2014-04-23T13:11:50
N20140422Q34F135V1	14:26:40	-06:30:06	40	13.333	2014-04-23T13:13:00
N20140422Q34F136V1	14:26:39	-04:33:42	40	13.333	2014-04-23T13:14:10
N20140422Q34F133V2	14:20:15	-03:34:30	40	13.333	2014-04-23T13:15:20
N20140422Q34F134V2	14:20:14	-05:32:54	40	13.333	2014-04-23T13:16:30
N20140422Q34F135V2	14:26:40	-06:30:06	40	13.333	2014-04-23T13:17:40
N20140422Q34F136V2	14:26:39	-04:33:42	40	13.333	2014-04-23T13:18:50
N20140422Q34F133V3	14:20:15	-03:34:30	40	13.333	2014-04-23T13:20:00
N20140422Q34F134V3	14:20:14	-05:32:54	40	13.333	2014-04-23T13:21:10
N20140422Q34F135V3	14:26:40	-06:30:06	40	13.333	2014-04-23T13:22:20
N20140422Q34F136V3	14:26:39	-04:33:42	40	13.333	2014-04-23T13:23:30
N20140422Q34F133V4	14:20:15	-03:34:30	40	13.333	2014-04-23T13:24:40
N20140422Q34F134V4	14:20:14	-05:32:54	40	13.333	2014-04-23T13:25:50
N20140422Q34F135V4	14:26:40	-06:30:06	40	13.333	2014-04-23T13:27:00
N20140422Q34F136V4	14:26:39	-04:33:42	40	13.333	2014-04-23T13:28:10
N20140422Q34F133V5	14:20:15	-03:34:30	40	13.333	2014-04-23T13:29:20
N20140422Q34F134V5	14:20:14	-05:32:54	40	13.333	2014-04-23T13:30:30
N20140422Q34F135V5	14:26:40	-06:30:06	40	13.333	2014-04-23T13:31:40
N20140422Q34F136V5	14:26:39	-04:33:42	40	13.333	2014-04-23T13:32:50
SLEW_QX_QY	14:26:39	-04:33:42	60	13.333	2014-04-23T13:34:20
N20140422Q35F137V1	14:20:16	-07:15:42	40	13.333	2014-04-23T13:35:30
N20140422Q35F138V1	14:20:15	-09:12:06	40	13.333	2014-04-23T13:36:40
N20140422Q35F139V1	14:26:44	-10:11:18	40	13.333	2014-04-23T13:37:50
N20140422Q35F140V1	14:26:43	-08:14:54	40	13.333	2014-04-23T13:39:00
N20140422Q35F137V2	14:20:16	-07:15:42	40	13.333	2014-04-23T13:40:10
N20140422Q35F138V2	14:20:15	-09:12:06	40	13.333	2014-04-23T13:41:20
N20140422Q35F139V2	14:26:44	-10:11:18	40	13.333	2014-04-23T13:42:30
N20140422Q35F140V2	14:26:43	-08:14:54	40	13.333	2014-04-23T13:43:40
N20140422Q35F137V3	14:20:16	-07:15:42	40	13.333	2014-04-23T13:44:50
N20140422Q35F138V3	14:20:15	-09:12:06	40	13.333	2014-04-23T13:46:00
N20140422Q35F139V3	14:26:44	-10:11:18	40	13.333	2014-04-23T13:47:10
N20140422Q35F140V3	14:26:43	-08:14:54	40	13.333	2014-04-23T13:48:20
N20140422Q35F137V4	14:20:16	-07:15:42	40	13.333	2014-04-23T13:49:30
N20140422Q35F138V4	14:20:15	-09:12:06	40	13.333	2014-04-23T13:50:40
N20140422Q35F139V4	14:26:44	-10:11:18	40	13.333	2014-04-23T13:51:50
N20140422Q35F140V4	14:26:43	-08:14:54	40	13.333	2014-04-23T13:53:00
N20140422Q35F137V5	14:20:16	-07:15:42	40	13.333	2014-04-23T13:54:10
N20140422Q35F138V5	14:20:15	-09:12:06	40	13.333	2014-04-23T13:55:20
N20140422Q35F139V5	14:26:44	-10:11:18	40	13.333	2014-04-23T13:56:30
N20140422Q35F140V5	14:26:43	-08:14:54	40	13.333	2014-04-23T13:57:40
SLEW_QX_QY	14:26:43	-08:14:54	60	13.333	2014-04-23T13:59:10
N20140422Q36F141V1	14:20:19	-10:56:54	40	13.333	2014-04-23T14:00:20
N20140422Q36F142V1	14:20:17	-12:53:18	40	13.333	2014-04-23T14:01:30
N20140422Q36F143V1	14:26:51	-13:52:30	40	13.333	2014-04-23T14:02:40
N20140422Q36F144V1	14:26:49	-11:54:06	40	13.333	2014-04-23T14:03:50
N20140422Q36F141V2	14:20:19	-10:56:54	40	13.333	2014-04-23T14:05:00
N20140422Q36F142V2	14:20:17	-12:53:18	40	13.333	2014-04-23T14:06:10
N20140422Q36F143V2	14:26:51	-13:52:30	40	13.333	2014-04-23T14:07:20
N20140422Q36F144V2	14:26:49	-11:54:06	40	13.333	2014-04-23T14:08:30
N20140422Q36F141V3	14:20:19	-10:56:54	40	13.333	2014-04-23T14:09:40
N20140422Q36F142V3	14:20:17	-12:53:18	40	13.333	2014-04-23T14:10:50
N20140422Q36F143V3	14:26:51	-13:52:30	40	13.333	2014-04-23T14:12:00
N20140422Q36F144V3	14:26:49	-11:54:06	40	13.333	2014-04-23T14:13:10
N20140422Q36F141V4	14:20:19	-10:56:54	40	13.333	2014-04-23T14:14:20
N20140422Q36F142V4	14:20:17	-12:53:18	40	13.333	2014-04-23T14:15:30
N20140422Q36F143V4	14:26:51	-13:52:30	40	13.333	2014-04-23T14:16:40
N20140422Q36F144V4	14:26:49	-11:54:06	40	13.333	2014-04-23T14:17:50
N20140422Q36F141V5	14:20:19	-10:56:54	40	13.333	2014-04-23T14:19:00
N20140422Q36F142V5	14:20:17	-12:53:18	40	13.333	2014-04-23T14:20:10
N20140422Q36F143V5	14:26:51	-13:52:30	40	13.333	2014-04-23T14:21:20
N20140422Q36F144V5	14:26:49	-11:54:06	40	13.333	2014-04-23T14:22:30
SLEW_QX_QY	14:26:49	-11:54:06	60	13.333	2014-04-23T14:24:00
N20140422Q37F145V1	14:20:22	-14:36:06	40	13.333	2014-04-23T14:25:10
N20140422Q37F146V1	14:20:20	-16:34:30	40	13.333	2014-04-23T14:26:20
N20140422Q37F147V1	14:27:01	-17:33:42	40	13.333	2014-04-23T14:27:30
N20140422Q37F148V1	14:26:59	-15:35:18	40	13.333	2014-04-23T14:28:40
N20140422Q37F145V2	14:20:22	-14:36:06	40	13.333	2014-04-23T14:29:50
N20140422Q37F146V2	14:20:20	-16:34:30	40	13.333	2014-04-23T14:31:00
N20140422Q37F147V2	14:27:01	-17:33:42	40	13.333	2014-04-23T14:32:10
N20140422Q37F148V2	14:26:59	-15:35:18	40	13.333	2014-04-23T14:33:20
N20140422Q37F145V3	14:20:22	-14:36:06	40	13.333	2014-04-23T14:34:30
N20140422Q37F146V3	14:20:20	-16:34:30	40	13.333	2014-04-23T14:35:40
N20140422Q37F147V3	14:27:01	-17:33:42	40	13.333	2014-04-23T14:36:50
N20140422Q37F148V3	14:26:59	-15:35:18	40	13.333	2014-04-23T14:38:00
N20140422Q37F145V4	14:20:22	-14:36:06	40	13.333	2014-04-23T14:39:10
N20140422Q37F146V4	14:20:20	-16:34:30	40	13.333	2014-04-23T14:40:20
N20140422Q37F147V4	14:27:01	-17:33:42	40	13.333	2014-04-23T14:41:30
N20140422Q37F148V4	14:26:59	-15:35:18	40	13.333	2014-04-23T14:42:40
N20140422Q37F145V5	14:20:22	-14:36:06	40	13.333	2014-04-23T14:43:50
N20140422Q37F146V5	14:20:20	-16:34:30	40	13.333	2014-04-23T14:45:00
N20140422Q37F147V5	14:27:01	-17:33:42	40	13.333	2014-04-23T14:46:10
N20140422Q37F148V5	14:26:59	-15:35:18	40	13.333	2014-04-23T14:47:20
SLEW_QX_QY	14:26:59	-15:35:18	60	13.333	2014-04-23T14:48:50
N20140422Q38F149V1	14:20:26	-18:17:18	40	13.333	2014-04-23T14:50:00
